filename,predicted_text,correct_word
acahkosak.mp3,ERROR: [WinError 2] The system cannot find the file specified,acahkosak
achimoh.mp3,ERROR: [WinError 2] The system cannot find the file specified,achimoh
achimostamawâw.mp3,ERROR: [WinError 2] The system cannot find the file specified,achimostamawâw
achimostaw.mp3,ERROR: [WinError 2] The system cannot find the file specified,achimostaw
achimostawihk.mp3,ERROR: [WinError 2] The system cannot find the file specified,achimostawihk
achimostawik.mp3,ERROR: [WinError 2] The system cannot find the file specified,achimostawik
achimostawin.mp3,ERROR: [WinError 2] The system cannot find the file specified,achimostawin
achimostawinan.mp3,ERROR: [WinError 2] The system cannot find the file specified,achimostawinan
achimostawāw.mp3,ERROR: [WinError 2] The system cannot find the file specified,achimostawāw
achimostawēw.mp3,ERROR: [WinError 2] The system cannot find the file specified,achimostawēw
achimostawēwak.mp3,ERROR: [WinError 2] The system cannot find the file specified,achimostawēwak
achimâw.mp3,ERROR: [WinError 2] The system cannot find the file specified,achimâw
achimēwak.mp3,ERROR: [WinError 2] The system cannot find the file specified,achimēwak
achiwinam.mp3,ERROR: [WinError 2] The system cannot find the file specified,achiwinam
achiwpayin.mp3,ERROR: [WinError 2] The system cannot find the file specified,achiwpayin
achiwīpayiw.mp3,ERROR: [WinError 2] The system cannot find the file specified,achiwīpayiw
acim.mp3,ERROR: [WinError 2] The system cannot find the file specified,acim
acimosisak.mp3,ERROR: [WinError 2] The system cannot find the file specified,acimosisak
acosis.mp3,ERROR: [WinError 2] The system cannot find the file specified,acosis
acoskēwinis.mp3,ERROR: [WinError 2] The system cannot find the file specified,acoskēwinis
ahcanis.mp3,ERROR: [WinError 2] The system cannot find the file specified,ahcanis
ahchi.mp3,ERROR: [WinError 2] The system cannot find the file specified,ahchi
ahchipiko.mp3,ERROR: [WinError 2] The system cannot find the file specified,ahchipiko
ahcānisak.mp3,ERROR: [WinError 2] The system cannot find the file specified,ahcānisak
ahih.mp3,ERROR: [WinError 2] The system cannot find the file specified,ahih
ahihk.mp3,ERROR: [WinError 2] The system cannot find the file specified,ahihk
ahik.mp3,ERROR: [WinError 2] The system cannot find the file specified,ahik
ahin.mp3,ERROR: [WinError 2] The system cannot find the file specified,ahin
ahkamēyihtam.mp3,ERROR: [WinError 2] The system cannot find the file specified,ahkamēyihtam
ahkamēyimoh.mp3,ERROR: [WinError 2] The system cannot find the file specified,ahkamēyimoh
ahkamēyimōk.mp3,ERROR: [WinError 2] The system cannot find the file specified,ahkamēyimōk
ahkwachāw.mp3,ERROR: [WinError 2] The system cannot find the file specified,ahkwachāw
ahkwakamin.mp3,ERROR: [WinError 2] The system cannot find the file specified,ahkwakamin
ahkwan.mp3,ERROR: [WinError 2] The system cannot find the file specified,ahkwan
ahkwatihtā.mp3,ERROR: [WinError 2] The system cannot find the file specified,ahkwatihtā
ahkwatin.mp3,ERROR: [WinError 2] The system cannot find the file specified,ahkwatin
